date,channel,objective,campaign_name,impressions,clicks,spend,conversions,revenue
2026-01-16,TikTok Ads,Traffic,TikTok Traffic Jan,19190,254,128.23,1,62.37
2026-01-17,LinkedIn Ads,Conversions,LinkedIn Conversions Jan,4033,23,74.32,0,0.00
2026-01-17,Meta Ads,Traffic,Meta Traffic Jan,3074,46,43.29,1,54.40
2026-01-17,Meta Ads,Conversions,Meta Conversions Jan,9679,151,122.87,5,272.10
2026-01-17,TikTok Ads,Traffic,TikTok Traffic Jan,27147,313,126.16,3,131.31
2026-01-18,LinkedIn Ads,Conversions,LinkedIn Conversions Jan,5291,31,95.36,1,59.23
2026-01-18,Meta Ads,Conversions,Meta Conversions Jan,10164,159,138.45,5,296.40
2026-01-18,Meta Ads,Traffic,Meta Traffic Jan,2161,36,34.60,1,55.00
2026-01-18,TikTok Ads,Traffic,TikTok Traffic Jan,23688,311,123.79,2,99.87
2026-01-19,LinkedIn Ads,Conversions,LinkedIn Conversions Jan,4058,24,78.52,0,0.00
2026-01-19,Meta Ads,Conversions,Meta Conversions Jan,9643,144,124.67,4,193.61
2026-01-19,Meta Ads,Traffic,Meta Traffic Jan,3663,52,42.92,1,55.17
2026-01-19,TikTok Ads,Traffic,TikTok Traffic Jan,16315,214,96.63,1,50.44
2026-01-20,LinkedIn Ads,Conversions,LinkedIn Conversions Jan,3924,25,74.96,0,0.00
2026-01-20,Meta Ads,Traffic,Meta Traffic Jan,3134,48,38.86,1,52.94
2026-01-20,Meta Ads,Conversions,Meta Conversions Jan,9942,140,119.31,5,331.00
2026-01-20,TikTok Ads,Traffic,TikTok Traffic Jan,25621,294,129.77,3,170.92
2026-01-21,LinkedIn Ads,Conversions,LinkedIn Conversions Jan,4882,28,85.82,0,0.00
2026-01-21,Meta Ads,Traffic,Meta Traffic Jan,2543,38,36.66,0,0.00
2026-01-21,Meta Ads,Conversions,Meta Conversions Jan,10905,151,135.91,3,188.52
2026-01-21,TikTok Ads,Traffic,TikTok Traffic Jan,18929,220,103.88,2,125.95
2026-01-22,LinkedIn Ads,Conversions,LinkedIn Conversions Jan,4506,27,93.15,1,50.33
2026-01-22,Meta Ads,Conversions,Meta Conversions Jan,10201,140,120.73,5,272.13
2026-01-22,Meta Ads,Traffic,Meta Traffic Jan,2180,33,32.26,0,0.00
2026-01-22,TikTok Ads,Traffic,TikTok Traffic Jan,17917,228,101.68,1,55.97
2026-01-23,LinkedIn Ads,Conversions,LinkedIn Conversions Jan,3563,22,75.67,1,54.09
2026-01-23,Meta Ads,Traffic,Meta Traffic Jan,2987,42,33.40,0,0.00
2026-01-23,Meta Ads,Conversions,Meta Conversions Jan,7197,108,99.09,2,105.12
2026-01-23,TikTok Ads,Traffic,TikTok Traffic Jan,25987,316,124.06,2,112.43
2026-01-24,LinkedIn Ads,Conversions,LinkedIn Conversions Jan,4021,22,65.38,0,0.00
2026-01-24,Meta Ads,Conversions,Meta Conversions Jan,7080,118,117.57,3,130.60
2026-01-24,Meta Ads,Traffic,Meta Traffic Jan,3435,53,39.98,1,55.23
2026-01-24,TikTok Ads,Traffic,TikTok Traffic Jan,22020,274,138.45,2,106.69
2026-01-25,LinkedIn Ads,Conversions,LinkedIn Conversions Jan,4916,31,87.10,1,61.96
2026-01-25,Meta Ads,Conversions,Meta Conversions Jan,9900,145,134.10,5,298.17
2026-01-25,Meta Ads,Traffic,Meta Traffic Jan,4270,61,47.33,1,48.32
2026-01-25,TikTok Ads,Traffic,TikTok Traffic Jan,19388,240,104.76,1,63.25
2026-01-26,LinkedIn Ads,Conversions,LinkedIn Conversions Jan,3454,23,73.58,0,0.00
2026-01-26,Meta Ads,Conversions,Meta Conversions Jan,8535,133,126.50,4,269.49
2026-01-26,Meta Ads,Traffic,Meta Traffic Jan,3344,49,43.89,1,61.66
2026-01-26,TikTok Ads,Traffic,TikTok Traffic Jan,28025,309,128.61,2,123.04
2026-01-27,Google Ads,Traffic,Google Traffic Jan,2412,79,101.33,5,290.30
2026-01-27,LinkedIn Ads,Conversions,LinkedIn Conversions Jan,3134,18,65.74,0,0.00
2026-01-27,Meta Ads,Traffic,Meta Traffic Jan,2237,36,36.63,0,0.00
2026-01-27,Meta Ads,Conversions,Meta Conversions Jan,9269,150,119.62,4,270.41
2026-01-27,TikTok Ads,Traffic,TikTok Traffic Jan,20375,251,108.53,2,97.86
2026-01-28,Google Ads,Traffic,Google Traffic Jan,3049,104,131.50,4,260.94
2026-01-28,LinkedIn Ads,Conversions,LinkedIn Conversions Jan,3295,21,69.01,0,0.00
2026-01-28,Meta Ads,Traffic,Meta Traffic Jan,3316,46,45.67,0,0.00
2026-01-28,Meta Ads,Conversions,Meta Conversions Jan,9902,162,138.05,5,313.97
2026-01-28,TikTok Ads,Traffic,TikTok Traffic Jan,25037,280,131.18,1,54.69
2026-01-29,Google Ads,Traffic,Google Traffic Jan,2776,81,109.47,3,133.60
2026-01-29,LinkedIn Ads,Conversions,LinkedIn Conversions Jan,3907,23,78.34,0,0.00
2026-01-29,Meta Ads,Traffic,Meta Traffic Jan,2780,39,34.35,0,0.00
2026-01-29,Meta Ads,Conversions,Meta Conversions Jan,10151,155,139.92,5,233.30
2026-01-29,TikTok Ads,Traffic,TikTok Traffic Jan,23831,295,117.70,2,120.06
2026-01-30,Google Ads,Traffic,Google Traffic Jan,2246,70,111.57,3,163.40
2026-01-30,LinkedIn Ads,Conversions,LinkedIn Conversions Jan,3076,19,67.74,1,65.77
2026-01-30,Meta Ads,Conversions,Meta Conversions Jan,7183,100,96.68,2,101.94
2026-01-30,Meta Ads,Traffic,Meta Traffic Jan,3593,53,46.17,1,62.81
2026-01-30,TikTok Ads,Traffic,TikTok Traffic Jan,22215,285,129.37,2,126.46
2026-01-31,Google Ads,Traffic,Google Traffic Jan,2943,98,134.47,3,139.87
2026-01-31,LinkedIn Ads,Conversions,LinkedIn Conversions Jan,4233,26,90.34,0,0.00
2026-01-31,Meta Ads,Conversions,Meta Conversions Jan,8951,134,132.94,4,200.86
2026-01-31,Meta Ads,Traffic,Meta Traffic Jan,3140,47,37.15,0,0.00
2026-01-31,TikTok Ads,Traffic,TikTok Traffic Jan,24085,311,123.29,3,196.65
2026-02-01,Google Ads,Traffic,Google Traffic Jan,2168,66,106.75,2,134.29
2026-02-01,LinkedIn Ads,Conversions,LinkedIn Conversions Jan,3173,19,67.36,0,0.00
2026-02-01,Meta Ads,Traffic,Meta Traffic Jan,4397,62,47.44,0,0.00
2026-02-01,Meta Ads,Conversions,Meta Conversions Jan,9128,135,101.83,5,277.70
2026-02-01,TikTok Ads,Traffic,TikTok Traffic Jan,20978,239,101.62,2,108.44
2026-02-01,TikTok Ads,Awareness,TikTok Awareness Feb,16784,191,81.68,1,65.18
2026-02-02,Google Ads,Traffic,Google Traffic Jan,3335,107,139.05,4,214.24
2026-02-02,LinkedIn Ads,Conversions,LinkedIn Conversions Jan,4487,27,81.78,0,0.00
2026-02-02,Meta Ads,Traffic,Meta Traffic Jan,3512,50,41.41,2,118.43
2026-02-02,Meta Ads,Conversions,Meta Conversions Jan,8836,130,116.81,5,261.13
2026-02-02,Meta Ads,Awareness,Meta Awareness Feb,4821,71,58.94,1,50.22
2026-02-02,TikTok Ads,Traffic,TikTok Traffic Jan,28101,337,134.98,2,92.92
2026-02-02,TikTok Ads,Awareness,TikTok Awareness Feb,16019,204,81.48,1,60.48
2026-02-03,Google Ads,Traffic,Google Traffic Jan,2313,82,108.09,4,250.72
2026-02-03,LinkedIn Ads,Conversions,LinkedIn Conversions Jan,5191,30,89.24,0,0.00
2026-02-03,Meta Ads,Traffic,Meta Traffic Jan,3011,47,35.57,1,53.15
2026-02-03,Meta Ads,Awareness,Meta Awareness Feb,4431,67,54.12,0,0.00
2026-02-03,Meta Ads,Conversions,Meta Conversions Jan,8423,139,105.38,4,214.70
2026-02-03,TikTok Ads,Awareness,TikTok Awareness Feb,17600,223,95.36,1,54.61
2026-02-03,TikTok Ads,Traffic,TikTok Traffic Jan,24860,277,129.93,2,121.56
2026-02-04,Google Ads,Traffic,Google Traffic Jan,2254,75,109.38,4,256.30
2026-02-04,LinkedIn Ads,Conversions,LinkedIn Conversions Jan,3798,25,92.65,1,44.64
2026-02-04,Meta Ads,Traffic,Meta Traffic Jan,4192,59,45.19,1,44.97
2026-02-04,Meta Ads,Conversions,Meta Conversions Jan,9796,141,132.23,6,334.94
2026-02-04,Meta Ads,Awareness,Meta Awareness Feb,3948,62,60.73,0,0.00
2026-02-04,TikTok Ads,Awareness,TikTok Awareness Feb,22329,287,115.93,1,48.62
2026-02-04,TikTok Ads,Traffic,TikTok Traffic Jan,22626,265,113.13,1,44.80
2026-02-05,Google Ads,Traffic,Google Traffic Jan,3141,107,141.91,5,276.63
2026-02-05,LinkedIn Ads,Conversions,LinkedIn Conversions Jan,3684,23,73.08,1,60.52
2026-02-05,Meta Ads,Awareness,Meta Awareness Feb,5472,84,70.14,1,53.82
2026-02-05,Meta Ads,Traffic,Meta Traffic Jan,3356,48,37.97,1,67.35
2026-02-05,Meta Ads,Conversions,Meta Conversions Jan,11495,158,133.70,3,155.92
2026-02-05,TikTok Ads,Traffic,TikTok Traffic Jan,28635,318,143.37,3,157.22
2026-02-05,TikTok Ads,Awareness,TikTok Awareness Feb,16581,213,101.16,1,59.80
2026-02-06,Google Ads,Traffic,Google Traffic Jan,2933,102,132.64,4,201.73
2026-02-06,LinkedIn Ads,Conversions,LinkedIn Conversions Jan,4505,25,77.57,1,63.23
2026-02-06,Meta Ads,Awareness,Meta Awareness Feb,4246,59,59.49,1,43.78
2026-02-06,Meta Ads,Traffic,Meta Traffic Jan,3289,52,44.95,1,44.34
2026-02-06,Meta Ads,Conversions,Meta Conversions Jan,8119,133,116.42,4,193.98
2026-02-06,TikTok Ads,Awareness,TikTok Awareness Feb,17263,191,85.48,1,55.36
2026-02-06,TikTok Ads,Traffic,TikTok Traffic Jan,26286,329,139.43,3,188.13
2026-02-07,Google Ads,Traffic,Google Traffic Jan,3075,91,118.78,3,201.51
2026-02-07,LinkedIn Ads,Conversions,LinkedIn Conversions Jan,4581,30,91.35,1,45.44
2026-02-07,Meta Ads,Conversions,Meta Conversions Jan,9962,152,119.88,5,272.53
2026-02-07,Meta Ads,Traffic,Meta Traffic Jan,3037,46,40.18,0,0.00
2026-02-07,Meta Ads,Awareness,Meta Awareness Feb,4815,66,60.83,1,57.80
2026-02-07,TikTok Ads,Awareness,TikTok Awareness Feb,20436,262,104.70,1,47.15
2026-02-07,TikTok Ads,Traffic,TikTok Traffic Jan,19563,256,116.79,2,109.93
2026-02-08,Google Ads,Conversions,Google Conversions Feb,2837,87,112.57,6,398.83
2026-02-08,Google Ads,Traffic,Google Traffic Jan,2285,71,114.35,3,180.93
2026-02-08,LinkedIn Ads,Conversions,LinkedIn Conversions Jan,4002,25,82.38,0,0.00
2026-02-08,Meta Ads,Conversions,Meta Conversions Jan,9180,130,101.77,4,190.45
2026-02-08,Meta Ads,Awareness,Meta Awareness Feb,4900,68,50.87,1,54.20
2026-02-08,Meta Ads,Traffic,Meta Traffic Jan,2753,45,40.74,1,65.95
2026-02-08,TikTok Ads,Traffic,TikTok Traffic Jan,21543,242,97.07,2,129.03
2026-02-08,TikTok Ads,Awareness,TikTok Awareness Feb,14883,173,82.10,0,0.00
2026-02-09,Google Ads,Conversions,Google Conversions Feb,2357,70,103.29,6,281.79
2026-02-09,Google Ads,Traffic,Google Traffic Jan,2507,77,103.18,4,262.84
2026-02-09,LinkedIn Ads,Conversions,LinkedIn Conversions Jan,4306,24,84.64,0,0.00
2026-02-09,Meta Ads,Conversions,Meta Conversions Jan,12692,185,141.78,5,323.06
2026-02-09,Meta Ads,Awareness,Meta Awareness Feb,5052,73,55.73,1,64.58
2026-02-09,Meta Ads,Traffic,Meta Traffic Jan,3574,49,43.09,1,68.61
2026-02-09,TikTok Ads,Awareness,TikTok Awareness Feb,15275,189,85.55,1,52.56
2026-02-09,TikTok Ads,Traffic,TikTok Traffic Jan,26194,301,124.28,3,160.18
2026-02-10,Google Ads,Conversions,Google Conversions Feb,2661,80,101.93,4,197.85
2026-02-10,Google Ads,Traffic,Google Traffic Jan,2379,72,99.75,4,264.53
2026-02-10,LinkedIn Ads,Conversions,LinkedIn Conversions Jan,4088,26,80.57,0,0.00
2026-02-10,Meta Ads,Conversions,Meta Conversions Jan,11062,171,128.18,4,227.96
2026-02-10,Meta Ads,Traffic,Meta Traffic Jan,3647,50,39.88,1,65.79
2026-02-10,Meta Ads,Awareness,Meta Awareness Feb,4620,68,58.05,1,57.43
2026-02-10,TikTok Ads,Awareness,TikTok Awareness Feb,14129,178,86.45,1,64.10
2026-02-10,TikTok Ads,Traffic,TikTok Traffic Jan,20178,249,114.19,2,117.42
2026-02-11,Google Ads,Traffic,Google Traffic Jan,3119,99,125.96,4,232.34
2026-02-11,Google Ads,Conversions,Google Conversions Feb,3466,104,142.63,9,478.92
2026-02-11,LinkedIn Ads,Conversions,LinkedIn Conversions Jan,4095,25,75.80,1,59.12
2026-02-11,Meta Ads,Conversions,Meta Conversions Jan,8762,126,121.84,4,188.59
2026-02-11,Meta Ads,Awareness,Meta Awareness Feb,4335,72,62.17,1,42.19
2026-02-11,Meta Ads,Traffic,Meta Traffic Jan,2864,46,44.23,1,55.33
2026-02-11,TikTok Ads,Awareness,TikTok Awareness Feb,19126,215,88.74,1,57.23
2026-02-11,TikTok Ads,Traffic,TikTok Traffic Jan,15274,189,97.26,2,123.07
2026-02-12,Google Ads,Traffic,Google Traffic Jan,1915,67,98.85,4,224.30
2026-02-12,Google Ads,Conversions,Google Conversions Feb,3364,99,138.05,4,187.23
2026-02-12,LinkedIn Ads,Conversions,LinkedIn Conversions Jan,3987,25,77.52,1,60.93
2026-02-12,Meta Ads,Traffic,Meta Traffic Jan,3001,48,38.20,1,52.17
2026-02-12,Meta Ads,Awareness,Meta Awareness Feb,3919,62,59.17,1,53.12
2026-02-12,Meta Ads,Conversions,Meta Conversions Jan,8089,120,110.15,3,202.53
2026-02-12,TikTok Ads,Awareness,TikTok Awareness Feb,21346,246,106.98,1,62.47
2026-02-12,TikTok Ads,Traffic,TikTok Traffic Jan,22372,291,122.78,1,60.58
2026-02-13,Google Ads,Traffic,Google Traffic Jan,2762,87,133.20,4,175.27
2026-02-13,Google Ads,Conversions,Google Conversions Feb,2435,82,126.05,7,420.23
2026-02-13,LinkedIn Ads,Conversions,LinkedIn Conversions Jan,3946,23,69.98,0,0.00
2026-02-13,Meta Ads,Traffic,Meta Traffic Jan,2912,43,34.34,1,45.63
2026-02-13,Meta Ads,Awareness,Meta Awareness Feb,4489,66,65.65,0,0.00
2026-02-13,Meta Ads,Conversions,Meta Conversions Jan,9045,129,104.22,5,292.89
2026-02-13,TikTok Ads,Awareness,TikTok Awareness Feb,18278,242,96.77,1,57.50
2026-02-13,TikTok Ads,Traffic,TikTok Traffic Jan,20659,270,118.36,2,89.29
2026-02-14,Google Ads,Traffic,Google Traffic Jan,2645,93,135.27,5,268.55
2026-02-14,Google Ads,Conversions,Google Conversions Feb,2470,87,121.95,7,383.52
2026-02-14,LinkedIn Ads,Conversions,LinkedIn Conversions Jan,4776,28,84.78,0,0.00
2026-02-14,Meta Ads,Awareness,Meta Awareness Feb,3721,61,56.84,1,44.30
2026-02-14,Meta Ads,Conversions,Meta Conversions Jan,9393,132,120.32,4,193.69
2026-02-14,Meta Ads,Traffic,Meta Traffic Jan,3283,46,45.39,1,65.79
2026-02-14,TikTok Ads,Traffic,TikTok Traffic Jan,18358,239,97.93,2,122.55
2026-02-14,TikTok Ads,Awareness,TikTok Awareness Feb,20179,254,114.26,1,61.44
2026-02-15,Google Ads,Traffic,Google Traffic Jan,2449,73,110.98,4,184.64
2026-02-15,Google Ads,Conversions,Google Conversions Feb,2651,93,128.89,7,327.61
2026-02-15,LinkedIn Ads,Conversions,LinkedIn Conversions Jan,3844,21,69.07,0,0.00
2026-02-15,Meta Ads,Conversions,Meta Conversions Jan,8133,113,99.02,4,166.70
2026-02-15,Meta Ads,Awareness,Meta Awareness Feb,4443,68,50.54,1,48.47
2026-02-15,Meta Ads,Traffic,Meta Traffic Jan,2932,40,35.19,1,45.57
2026-02-15,TikTok Ads,Traffic,TikTok Traffic Jan,20145,221,115.08,1,46.72
2026-02-15,TikTok Ads,Awareness,TikTok Awareness Feb,18235,206,95.53,1,61.17
2026-02-16,Google Ads,Traffic,Google Traffic Jan,2479,79,104.14,4,267.89
2026-02-16,Google Ads,Conversions,Google Conversions Feb,3077,98,141.01,8,497.89
2026-02-16,LinkedIn Ads,Conversions,LinkedIn Conversions Jan,4193,26,85.37,0,0.00
2026-02-16,Meta Ads,Conversions,Meta Conversions Jan,6225,101,100.63,3,200.98
2026-02-16,Meta Ads,Traffic,Meta Traffic Jan,3718,53,43.48,1,52.96
2026-02-16,Meta Ads,Awareness,Meta Awareness Feb,5700,79,67.21,1,66.32
2026-02-16,TikTok Ads,Awareness,TikTok Awareness Feb,24087,277,116.66,1,66.28
2026-02-16,TikTok Ads,Traffic,TikTok Traffic Jan,21750,285,136.21,2,91.15
2026-02-17,Google Ads,Traffic,Google Traffic Jan,2088,69,104.16,4,229.72
2026-02-17,Google Ads,Conversions,Google Conversions Feb,3205,97,126.55,6,256.13
2026-02-17,LinkedIn Ads,Conversions,LinkedIn Conversions Jan,5101,28,79.83,0,0.00
2026-02-17,Meta Ads,Conversions,Meta Conversions Jan,9737,143,112.81,5,333.40
2026-02-17,Meta Ads,Traffic,Meta Traffic Jan,2598,38,37.74,0,0.00
2026-02-17,Meta Ads,Awareness,Meta Awareness Feb,4878,69,53.25,0,0.00
2026-02-17,TikTok Ads,Traffic,TikTok Traffic Jan,20580,260,105.21,2,110.97
2026-02-17,TikTok Ads,Awareness,TikTok Awareness Feb,17699,224,110.64,1,48.07
2026-02-18,Google Ads,Traffic,Google Traffic Jan,2187,66,104.22,2,101.23
2026-02-18,Google Ads,Conversions,Google Conversions Feb,2851,85,124.72,6,398.54
2026-02-18,LinkedIn Ads,Conversions,LinkedIn Conversions Jan,4567,30,87.25,0,0.00
2026-02-18,Meta Ads,Awareness,Meta Awareness Feb,4748,65,48.85,1,55.43
2026-02-18,Meta Ads,Traffic,Meta Traffic Jan,2448,36,32.82,1,65.95
2026-02-18,Meta Ads,Conversions,Meta Conversions Jan,7874,119,111.17,4,240.51
2026-02-18,TikTok Ads,Awareness,TikTok Awareness Feb,19684,241,111.89,1,56.21
2026-02-18,TikTok Ads,Traffic,TikTok Traffic Jan,24963,313,143.28,3,169.30
2026-02-19,Google Ads,Traffic,Google Traffic Jan,2786,99,134.89,4,178.99
2026-02-19,Google Ads,Conversions,Google Conversions Feb,3186,107,137.38,7,328.71
2026-02-19,LinkedIn Ads,Conversions,LinkedIn Conversions Jan,5141,30,87.06,1,51.42
2026-02-19,Meta Ads,Awareness,Meta Awareness Feb,6770,94,70.42,1,67.95
2026-02-19,Meta Ads,Traffic,Meta Traffic Jan,2857,42,40.48,1,52.93
2026-02-19,Meta Ads,Conversions,Meta Conversions Jan,12293,170,137.34,4,204.19
2026-02-19,TikTok Ads,Traffic,TikTok Traffic Jan,22054,286,142.42,2,107.37
2026-02-19,TikTok Ads,Awareness,TikTok Awareness Feb,13622,177,81.94,0,0.00
2026-02-20,Google Ads,Conversions,Google Conversions Feb,3143,97,143.34,5,278.78
2026-02-20,Google Ads,Traffic,Google Traffic Jan,2632,89,134.88,4,191.22
2026-02-20,LinkedIn Ads,Conversions,LinkedIn Conversions Jan,3418,21,74.87,0,0.00
2026-02-20,Meta Ads,Traffic,Meta Traffic Jan,3518,49,41.95,1,68.63
2026-02-20,Meta Ads,Awareness,Meta Awareness Feb,3434,50,49.13,1,58.24
2026-02-20,Meta Ads,Conversions,Meta Conversions Jan,9107,151,131.30,5,338.01
2026-02-20,TikTok Ads,Traffic,TikTok Traffic Jan,18468,234,105.86,1,66.91
2026-02-20,TikTok Ads,Awareness,TikTok Awareness Feb,15975,196,92.44,1,55.21
2026-02-21,Google Ads,Conversions,Google Conversions Feb,2485,75,112.85,5,302.66
2026-02-21,Google Ads,Traffic,Google Traffic Jan,2223,74,108.65,3,198.10
2026-02-21,LinkedIn Ads,Conversions,LinkedIn Conversions Jan,3752,21,74.51,1,51.33
2026-02-21,Meta Ads,Traffic,Meta Traffic Jan,4086,61,47.43,2,129.91
2026-02-21,Meta Ads,Conversions,Meta Conversions Jan,9833,140,134.39,3,168.48
2026-02-21,Meta Ads,Awareness,Meta Awareness Feb,3961,65,49.05,1,56.30
2026-02-21,TikTok Ads,Awareness,TikTok Awareness Feb,19566,216,109.18,1,54.40
2026-02-21,TikTok Ads,Traffic,TikTok Traffic Jan,16418,206,99.66,2,102.69
2026-02-22,Google Ads,Traffic,Google Traffic Jan,2810,86,111.34,3,184.45
2026-02-22,Google Ads,Conversions,Google Conversions Feb,2188,71,110.47,5,265.72
2026-02-22,LinkedIn Ads,Conversions,LinkedIn Conversions Jan,3420,22,73.41,0,0.00
2026-02-22,Meta Ads,Traffic,Meta Traffic Jan,2624,36,35.61,0,0.00
2026-02-22,Meta Ads,Conversions,Meta Conversions Jan,9329,134,112.44,3,133.51
2026-02-22,Meta Ads,Awareness,Meta Awareness Feb,4728,71,60.40,1,56.01
2026-02-22,TikTok Ads,Awareness,TikTok Awareness Feb,16321,217,111.05,1,48.71
2026-02-22,TikTok Ads,Traffic,TikTok Traffic Jan,23841,300,120.80,2,109.13
2026-02-23,Google Ads,Traffic,Google Traffic Jan,3301,97,137.01,5,310.53
2026-02-23,Google Ads,Conversions,Google Conversions Feb,2008,66,100.29,4,230.65
2026-02-23,LinkedIn Ads,Conversions,LinkedIn Conversions Jan,4253,27,95.05,0,0.00
2026-02-23,Meta Ads,Conversions,Meta Conversions Jan,7824,114,102.03,4,228.59
2026-02-23,Meta Ads,Traffic,Meta Traffic Jan,3462,57,44.09,1,49.52
2026-02-23,Meta Ads,Awareness,Meta Awareness Feb,3852,64,59.14,1,59.81
2026-02-23,TikTok Ads,Awareness,TikTok Awareness Feb,15622,178,81.09,0,0.00
2026-02-23,TikTok Ads,Traffic,TikTok Traffic Jan,20912,256,120.69,3,127.48
2026-02-24,Google Ads,Traffic,Google Traffic Jan,2245,70,105.30,4,166.22
2026-02-24,Google Ads,Conversions,Google Conversions Feb,3095,104,132.85,6,368.20
2026-02-24,LinkedIn Ads,Conversions,LinkedIn Conversions Jan,3879,25,82.55,1,58.72
2026-02-24,Meta Ads,Conversions,Meta Conversions Jan,8088,128,113.09,4,178.77
2026-02-24,Meta Ads,Traffic,Meta Traffic Jan,2478,40,35.96,1,44.16
2026-02-24,Meta Ads,Awareness,Meta Awareness Feb,3777,56,52.28,1,48.92
2026-02-24,TikTok Ads,Traffic,TikTok Traffic Jan,18161,205,98.26,1,59.78
2026-02-24,TikTok Ads,Awareness,TikTok Awareness Feb,16449,183,81.14,1,49.77
2026-02-25,Google Ads,Conversions,Google Conversions Feb,3079,102,134.75,6,291.72
2026-02-25,Google Ads,Traffic,Google Traffic Jan,2378,71,107.82,4,219.35
2026-02-25,LinkedIn Ads,Conversions,LinkedIn Conversions Jan,4701,29,95.52,0,0.00
2026-02-25,Meta Ads,Awareness,Meta Awareness Feb,4102,67,63.51,0,0.00
2026-02-25,Meta Ads,Traffic,Meta Traffic Jan,3347,50,46.89,1,47.26
2026-02-25,Meta Ads,Conversions,Meta Conversions Jan,10869,150,122.06,5,241.31
2026-02-25,TikTok Ads,Traffic,TikTok Traffic Jan,24040,283,130.78,2,108.44
2026-02-25,TikTok Ads,Awareness,TikTok Awareness Feb,17742,222,92.99,1,51.88
2026-02-26,Google Ads,Traffic,Google Traffic Jan,2584,79,132.57,3,177.02
2026-02-26,Google Ads,Conversions,Google Conversions Feb,2023,62,99.80,4,209.69
2026-02-26,LinkedIn Ads,Conversions,LinkedIn Conversions Jan,5115,29,88.63,0,0.00
2026-02-26,Meta Ads,Traffic,Meta Traffic Jan,2763,41,39.75,0,0.00
2026-02-26,Meta Ads,Conversions,Meta Conversions Jan,6560,103,103.09,3,149.72
2026-02-26,Meta Ads,Awareness,Meta Awareness Feb,6475,92,70.57,1,60.32
2026-02-26,TikTok Ads,Awareness,TikTok Awareness Feb,22540,247,99.43,1,63.70
2026-02-26,TikTok Ads,Traffic,TikTok Traffic Jan,24058,263,111.32,2,127.17
2026-02-27,Google Ads,Traffic,Google Traffic Jan,2516,78,106.45,4,191.23
2026-02-27,Google Ads,Conversions,Google Conversions Feb,2416,81,136.40,7,344.61
2026-02-27,LinkedIn Ads,Conversions,LinkedIn Conversions Jan,4849,31,94.85,0,0.00
2026-02-27,Meta Ads,Awareness,Meta Awareness Feb,4728,71,64.48,1,51.69
2026-02-27,Meta Ads,Traffic,Meta Traffic Jan,3029,50,38.24,1,65.30
